id,aluno_id,disciplina,media_final,percentual_presenca,ano_letivo
88e67bdc-4dc8-4193-8fec-98187f2dd5df,6fcfec10-c24f-4463-97c5-983dc33b92db,Física,8.2,82,2026
29d567ef-943a-4474-98d3-cb771c9b1cda,6fcfec10-c24f-4463-97c5-983dc33b92db,Química,8.3,78,2026
a2a8a38a-dff3-43b3-b8f0-04e79ced805b,50b79a6f-1317-4ec5-8226-0c38d97cd41e,Matemática,7.6,73,2026
4e0eb724-ff77-40b8-9cdc-22cb667f0d8c,50b79a6f-1317-4ec5-8226-0c38d97cd41e,Português,8.6,78,2026
c71f680d-7727-4341-b420-dce3211cd186,50b79a6f-1317-4ec5-8226-0c38d97cd41e,História,0.8,57,2026
217ffdf9-6797-4eeb-945f-29434ee5fe27,50b79a6f-1317-4ec5-8226-0c38d97cd41e,Física,4.6,74,2026
d4cb54f3-23f9-4b59-a502-68f12a4c9305,50b79a6f-1317-4ec5-8226-0c38d97cd41e,Química,4.4,90,2026
6176eae4-bf34-460c-ac42-5dd5c03b10bb,a983afd6-15ec-43cc-82c1-9d9a4467f0a3,Matemática,6,89,2026
31db295c-05e4-44ac-b38b-014216771e10,a983afd6-15ec-43cc-82c1-9d9a4467f0a3,Português,2.4,71,2026
8a280d8d-89bc-46cf-bfd7-43e5abc455b1,a983afd6-15ec-43cc-82c1-9d9a4467f0a3,História,7.2,81,2026
0333d87a-f5cb-4139-9e18-8635ccb53970,a983afd6-15ec-43cc-82c1-9d9a4467f0a3,Física,4.9,84,2026
e0e6a053-907e-4a1c-b8a3-e2e62ec8c02c,a983afd6-15ec-43cc-82c1-9d9a4467f0a3,Química,3.9,98,2026
e9031b8c-33c1-4e46-b359-645e752eef0c,fbffce82-cfb4-4600-a8a7-6fa962cbacdd,Matemática,10,99,2026
4445fb82-beb3-49b5-9bb0-517ccea563d1,fbffce82-cfb4-4600-a8a7-6fa962cbacdd,Português,10,71,2026
18c8086e-6b40-4fb4-8a62-155cf43fbd0a,fbffce82-cfb4-4600-a8a7-6fa962cbacdd,História,8.3,92,2026
c4ebcb89-5330-44b0-806c-8622fd56a96f,fbffce82-cfb4-4600-a8a7-6fa962cbacdd,Física,3.4,77,2026
1ada760a-6d11-4e18-89d9-55390b73603e,fbffce82-cfb4-4600-a8a7-6fa962cbacdd,Química,5.3,82,2026
52f383d8-a3d5-4386-8896-10b3afb290a0,c0b0140b-3405-42d1-8f20-2df7fca6a87b,Matemática,10,93,2026
23aa477b-4ea3-4065-8d67-9d145d4e0b86,c0b0140b-3405-42d1-8f20-2df7fca6a87b,Português,9.3,73,2026
189a93ac-8599-4d72-8501-d850d49e0f26,c0b0140b-3405-42d1-8f20-2df7fca6a87b,História,9.7,71,2026
0928fd12-a63e-428b-a7ae-b34213d231ad,c0b0140b-3405-42d1-8f20-2df7fca6a87b,Física,3.7,98,2026
7a13b861-e8db-47fd-808d-38d7982a651f,c0b0140b-3405-42d1-8f20-2df7fca6a87b,Química,3.2,72,2026
50f884cd-0a0b-4a0e-8d29-16058f4d7686,4fc99f62-323f-436e-9ccd-a94eead98e1f,Matemática,5.8,79,2026
3b66b117-0c94-45fe-908b-f341418fd1e9,4fc99f62-323f-436e-9ccd-a94eead98e1f,Português,2.9,75,2026
561203e1-e76a-42db-bd5d-17123ca3d62a,4fc99f62-323f-436e-9ccd-a94eead98e1f,História,7.4,88,2026
1a25390e-d8dc-4de7-bd17-c7523a1cf58b,4fc99f62-323f-436e-9ccd-a94eead98e1f,Física,6.6,90,2026
f8c7e023-8843-4cf2-a3ca-3d09e254fca8,4fc99f62-323f-436e-9ccd-a94eead98e1f,Química,7.6,95,2026
6c99c0d5-5893-479f-8ebc-82fa3f3c12f6,d8baeff9-0f39-4abb-bc8f-f89d09c7d8ab,Matemática,9.7,91,2026
aa541b41-e98f-4b7b-958e-29d8b3cee74d,d8baeff9-0f39-4abb-bc8f-f89d09c7d8ab,Português,9.7,95,2026
293d3a94-dd5d-4086-9709-2a6f5e767c4a,d8baeff9-0f39-4abb-bc8f-f89d09c7d8ab,História,5.3,85,2026
6e6a088d-f276-406e-93bd-09593eb5f15e,d8baeff9-0f39-4abb-bc8f-f89d09c7d8ab,Física,3.3,96,2026
9ec3ec09-8930-4e1f-9d74-281c328184b7,d8baeff9-0f39-4abb-bc8f-f89d09c7d8ab,Química,9.7,88,2026
7317a63c-a5a5-4dd5-93c1-1a8b701b378d,a6213355-9bbf-4c01-bb50-69062c368880,Matemática,1.4,73,2026
e8a932fd-5eb8-4bef-a7df-36fa4396b177,a6213355-9bbf-4c01-bb50-69062c368880,Português,1.6,58,2026
6f773eed-9eb4-4149-b768-f794bd0209c7,a6213355-9bbf-4c01-bb50-69062c368880,História,6.5,97,2026
52582e20-2b00-4261-a731-ad4278cc698a,a6213355-9bbf-4c01-bb50-69062c368880,Física,5.1,98,2026
47a79da4-4161-42e2-b581-ea30eff1cbd3,a6213355-9bbf-4c01-bb50-69062c368880,Química,5.8,74,2026
ce90eeea-d416-4625-bf86-bbeedc1d14b5,2f9f38d2-4a3f-4afb-b2c2-8aab06c1a5d0,Matemática,4.9,72,2026
456438c1-aed4-4a8c-b122-5013661d935d,2f9f38d2-4a3f-4afb-b2c2-8aab06c1a5d0,Português,7.3,82,2026
125a7988-1038-4e46-9192-82f778c503ea,2f9f38d2-4a3f-4afb-b2c2-8aab06c1a5d0,História,5.8,82,2026
88d55912-0ea5-4fec-a59c-3d258ec04617,2f9f38d2-4a3f-4afb-b2c2-8aab06c1a5d0,Física,5.7,78,2026
ebf988ba-ff68-4452-97fd-8b382797daf4,2f9f38d2-4a3f-4afb-b2c2-8aab06c1a5d0,Química,3.5,70,2026
f50d88c5-3e0b-47db-850b-a6e4758c166a,ace442a8-8d00-4ee4-b6ab-c23602e9f3d0,Matemática,9.3,93,2026
68820981-e061-4139-b7b8-3d0817fd336c,ace442a8-8d00-4ee4-b6ab-c23602e9f3d0,Português,7.6,76,2026
b4f8fd2d-21e8-42e6-8563-2bd3361c3d2e,ace442a8-8d00-4ee4-b6ab-c23602e9f3d0,História,4.5,83,2026
925f50a1-8130-41b4-bbfb-fa6ca50e27cb,ace442a8-8d00-4ee4-b6ab-c23602e9f3d0,Física,10,91,2026
e916a045-26ab-4e90-b6c1-5d97fffd0460,ace442a8-8d00-4ee4-b6ab-c23602e9f3d0,Química,4.8,99,2026
3cfdab66-8ee7-4270-8847-d6967069e450,a1e2de7a-fa66-4c9b-8197-7ba66f19b525,Matemática,2.7,82,2026
85991c65-3f7e-49ab-b3f3-90241f20c9af,a1e2de7a-fa66-4c9b-8197-7ba66f19b525,Português,7.9,79,2026
21a773f5-fa56-484d-a209-2d6d93e0ba28,a1e2de7a-fa66-4c9b-8197-7ba66f19b525,História,7.2,85,2026
ec2bcc8f-0a54-4170-849f-e972b8926191,a1e2de7a-fa66-4c9b-8197-7ba66f19b525,Física,3,59,2026
c305932e-8dd5-4a80-89f1-fb3f7e1780b8,a1e2de7a-fa66-4c9b-8197-7ba66f19b525,Química,6.7,90,2026
547525da-75d9-4493-a3ae-37af6209e5c2,b22770ec-6e6a-406c-bc03-1060293a5bd6,Matemática,6.1,77,2026
4223471e-100a-423e-b9c1-d0358d031fc6,b22770ec-6e6a-406c-bc03-1060293a5bd6,Português,5.7,71,2026
e3951e05-3ec3-431e-ab16-f2d4345ce52f,b22770ec-6e6a-406c-bc03-1060293a5bd6,História,7.1,97,2026
cb6788fa-09c3-435c-bac7-121c91531b05,b22770ec-6e6a-406c-bc03-1060293a5bd6,Física,0.5,73,2026
8847b7a0-744f-4551-9d86-fe0a6359f9e1,b22770ec-6e6a-406c-bc03-1060293a5bd6,Química,4.9,71,2026
d218bbca-ada5-407c-adb3-956c6b21920d,6b9d24ee-7f60-4c2c-a16a-143cf845f526,Matemática,9,78,2026
940cefb4-be17-443b-be01-2b94f685e6cb,6b9d24ee-7f60-4c2c-a16a-143cf845f526,Português,3.1,97,2026
870e574d-5c81-4a72-9dd3-c2c9c0e3bfba,6b9d24ee-7f60-4c2c-a16a-143cf845f526,História,2.8,78,2026
3bbb432a-037e-4bfb-8c0e-f280f90e8b20,6b9d24ee-7f60-4c2c-a16a-143cf845f526,Física,4.2,75,2026
9ef6ffc7-8238-4270-bbc1-f008792d9709,6b9d24ee-7f60-4c2c-a16a-143cf845f526,Química,4.2,79,2026
af5eb3f4-73f1-4795-8a96-9936f43b72ee,a5195b18-6659-46af-a509-8583efdd74a1,Matemática,9.6,70,2026
fa64a37d-ab03-4f82-8cfe-8ccfa643af0b,a5195b18-6659-46af-a509-8583efdd74a1,Português,2.8,82,2026
22bdae19-57dc-47d6-8743-386b85a37ec6,a5195b18-6659-46af-a509-8583efdd74a1,História,2.4,85,2026
7bed3f86-4318-4408-b662-cc36ba6b5970,a5195b18-6659-46af-a509-8583efdd74a1,Física,7,99,2026
2c3eb903-23b9-43c5-a72b-3f1874420a65,a5195b18-6659-46af-a509-8583efdd74a1,Química,4.2,84,2026
e42b5a7e-033d-4492-a75d-78bd5911b350,029e8d0a-a3be-4ab3-9dd1-abdc31ccd69e,Matemática,2.7,64,2026
6dbd62f1-fbaf-4027-bbae-697aa2879deb,029e8d0a-a3be-4ab3-9dd1-abdc31ccd69e,Português,5.7,71,2026
b82d5f2d-84b8-495c-aa6b-5cab143ba077,029e8d0a-a3be-4ab3-9dd1-abdc31ccd69e,História,9.3,97,2026
3eaaf8c2-e74c-4509-bd30-90f085dece24,029e8d0a-a3be-4ab3-9dd1-abdc31ccd69e,Física,8.3,98,2026
0dd20193-10d3-41e4-87b6-79c902219973,029e8d0a-a3be-4ab3-9dd1-abdc31ccd69e,Química,5.4,94,2026
b4e085e9-7b0b-4bd8-86b2-28c3414bee5d,888ef7b1-5beb-4ce6-b2f0-89bada0964b1,Matemática,7.7,77,2026
6c8ec847-c269-473c-9895-1c623e51ca76,888ef7b1-5beb-4ce6-b2f0-89bada0964b1,Português,7.9,85,2026
a6937b69-9009-4126-b2d7-d8f176a119a7,888ef7b1-5beb-4ce6-b2f0-89bada0964b1,História,4,55,2026
1094fc85-1b59-4a5e-bf06-7d96ae963ba6,888ef7b1-5beb-4ce6-b2f0-89bada0964b1,Física,2.5,57,2026
0bf539ba-6d2b-4dc1-862e-ef397d5d605f,888ef7b1-5beb-4ce6-b2f0-89bada0964b1,Química,5.2,90,2026
e334bb32-bd26-4ed6-92c0-a14786b1a06b,718bd7a2-b81e-4900-913f-d4d4b6b81c65,Matemática,10,84,2026
8d55b35f-8aae-4826-8ebb-367cc139e74a,718bd7a2-b81e-4900-913f-d4d4b6b81c65,Português,2.3,82,2026
fa27fd5d-455a-4bfb-b12c-a76025a033b5,718bd7a2-b81e-4900-913f-d4d4b6b81c65,História,9.4,76,2026
2367f810-cbc4-4ef9-bb3f-114473cab423,718bd7a2-b81e-4900-913f-d4d4b6b81c65,Física,5.3,84,2026
b48a43bb-76a2-4f80-ac1d-3017f5851ead,718bd7a2-b81e-4900-913f-d4d4b6b81c65,Química,5.6,76,2026
db57d4b2-3140-42cd-82ce-efbd7bd8fb0c,677c7045-f128-4171-bb0e-f72a9c46cc2b,Matemática,6.3,90,2026
d01a48ed-de52-4570-bcb1-f0de38032ae2,677c7045-f128-4171-bb0e-f72a9c46cc2b,Português,5.9,70,2026
f56ca788-ed4d-4713-9cb9-c6ad1dca82d8,677c7045-f128-4171-bb0e-f72a9c46cc2b,História,10,75,2026
8813387d-900b-47be-a8e9-d0376d2d0ddd,677c7045-f128-4171-bb0e-f72a9c46cc2b,Física,10,95,2026
7b3e296f-f68a-453d-ac0f-32dc0b8c5951,677c7045-f128-4171-bb0e-f72a9c46cc2b,Química,7.7,99,2026
9b74aed5-25f2-41f4-b736-035cd6c6a0ac,7640f12d-e5e6-4234-9e6d-42e797d946f9,Matemática,9,94,2026
8e37eaff-63bd-464e-b065-cb13588a2b62,7640f12d-e5e6-4234-9e6d-42e797d946f9,Português,3.7,79,2026
be31cd90-cbfa-497f-adc1-1110f7ffd022,7640f12d-e5e6-4234-9e6d-42e797d946f9,História,8.7,88,2026
4943d380-5292-49ca-a94a-2735ab8019e3,7640f12d-e5e6-4234-9e6d-42e797d946f9,Física,8.8,75,2026
c30bdbf0-8b80-4bbb-8640-e1784a02dfcb,7640f12d-e5e6-4234-9e6d-42e797d946f9,Química,10,98,2026
d37b600c-630a-4713-bd80-c21cae1a823a,8670cd2d-b698-4c71-a132-4572327c8bef,Matemática,2.9,77,2026
f3f864d9-43a9-47fb-a297-a30e9b4f4959,8670cd2d-b698-4c71-a132-4572327c8bef,Português,6.9,97,2026
44da66f4-77ef-414c-a2da-45531800d8ab,8670cd2d-b698-4c71-a132-4572327c8bef,História,4,84,2026
8d799aba-d200-4fb0-8a39-7a3500d520f1,8670cd2d-b698-4c71-a132-4572327c8bef,Física,4,71,2026
6532b72e-4ba1-4172-9293-3f8bd9ef0afd,8670cd2d-b698-4c71-a132-4572327c8bef,Química,10,87,2026
5b855eb2-fc38-423b-8244-220b54750e3c,29aa1fd5-69f0-4295-b080-96c2b81cdbd5,Matemática,10,88,2026
6e7acc5b-477f-4981-a1d7-989d79a3ab5f,29aa1fd5-69f0-4295-b080-96c2b81cdbd5,Português,9,93,2026
ff561cda-9d18-4d3c-969e-2147d57e56f1,29aa1fd5-69f0-4295-b080-96c2b81cdbd5,História,4,72,2026
c919c5aa-29b4-4dd6-9b82-ce8d7734ae62,29aa1fd5-69f0-4295-b080-96c2b81cdbd5,Física,8,77,2026
01c451f3-2f9b-496c-b9e1-22c638bb6120,29aa1fd5-69f0-4295-b080-96c2b81cdbd5,Química,9,89,2026
0ca8c5b1-aef8-4ab5-8e67-f61508e67956,778f2027-cd70-44ee-8f69-eae4ffeccbb6,Matemática,6,97,2026
68ba4cc6-0b0d-40cb-8bdd-27306b1a4fd6,778f2027-cd70-44ee-8f69-eae4ffeccbb6,Português,10,72,2026
ebbdf7b6-9ef8-4cfc-b2ae-694a683ed082,778f2027-cd70-44ee-8f69-eae4ffeccbb6,História,5.8,77,2026
5ecadf88-5e9c-4d19-9957-3129dea5d3a3,778f2027-cd70-44ee-8f69-eae4ffeccbb6,Física,10,83,2026
51825088-5c6e-4126-a5c1-4006d729fe51,778f2027-cd70-44ee-8f69-eae4ffeccbb6,Química,3.2,74,2026
0526fbb0-d795-4a94-b285-c67a10311387,f765ed7e-cbb8-4255-b592-bb07e885c9d6,Matemática,4.5,81,2026
1c85439f-8e14-4d29-85ac-e57d3c80859d,f765ed7e-cbb8-4255-b592-bb07e885c9d6,Português,10,71,2026
133b56ce-32c7-42a6-a29b-e57405590112,f765ed7e-cbb8-4255-b592-bb07e885c9d6,História,8.9,75,2026
a190a5c7-0b63-4c24-91e4-cf3ef4b00dec,f765ed7e-cbb8-4255-b592-bb07e885c9d6,Física,8.1,89,2026
3cdd2f46-5765-4537-8d97-3c63b7fdd310,f765ed7e-cbb8-4255-b592-bb07e885c9d6,Química,7.3,78,2026
a840e091-8503-47ac-99df-43e9dcfc8149,cdc14a86-2d8d-46bc-94fb-6dd37d156d0e,Matemática,2.5,65,2026
93aeaeff-ae76-4691-b926-171b3f714638,cdc14a86-2d8d-46bc-94fb-6dd37d156d0e,Português,2.8,95,2026
a3552f36-8231-426d-a3b9-cc78e5f91c4f,cdc14a86-2d8d-46bc-94fb-6dd37d156d0e,História,8.9,88,2026
9ee239cb-3710-4d72-bef1-d15eca93e069,cdc14a86-2d8d-46bc-94fb-6dd37d156d0e,Física,9.2,91,2026
66141c0f-407b-4784-9f0c-81dc4cfa4105,cdc14a86-2d8d-46bc-94fb-6dd37d156d0e,Química,3,55,2026
086f804e-908a-4d3e-9f2d-d5d2a82098e7,10b62524-b0d7-42e5-b76d-e68ade76f86e,Matemática,6.7,87,2026
213d1303-f583-4b07-a644-d9c2f6e91917,10b62524-b0d7-42e5-b76d-e68ade76f86e,Português,8.5,83,2026
6b0d1e3d-5832-4530-804a-15f0454a398d,10b62524-b0d7-42e5-b76d-e68ade76f86e,História,5.6,94,2026
d9a485d9-ee34-483d-823a-8cef0eeaf419,10b62524-b0d7-42e5-b76d-e68ade76f86e,Física,7.1,76,2026
ca29dda3-c9d0-49ef-8299-aeac32b79203,10b62524-b0d7-42e5-b76d-e68ade76f86e,Química,4.6,76,2026
d4f5b861-cd83-41f1-806f-4f24fc349031,2659be60-0f0c-4450-a7a5-d07e905d518d,Matemática,2.3,59,2026
f57fb948-7a51-4564-bf7e-62289914f30e,2659be60-0f0c-4450-a7a5-d07e905d518d,Português,8.9,74,2026
122a9f83-53b7-4cfa-93fc-20b6302703cb,2659be60-0f0c-4450-a7a5-d07e905d518d,História,7.2,84,2026
633e6472-8b24-4be3-880c-28681608da73,2659be60-0f0c-4450-a7a5-d07e905d518d,Física,2.9,73,2026
0b774c43-7e9c-473b-9a6c-3687f895a997,2659be60-0f0c-4450-a7a5-d07e905d518d,Química,6.8,77,2026
b50b8a92-6302-4cf5-99d0-3c99442c0464,ee712d05-fc6a-467c-90c6-15c167ba2353,Matemática,10,99,2026
ea5f6a23-9acc-45a0-8692-7debf5e47982,ee712d05-fc6a-467c-90c6-15c167ba2353,Português,9.2,93,2026
1e87cff6-e5c0-49c2-b67e-101a6c52a9ac,ee712d05-fc6a-467c-90c6-15c167ba2353,História,8.9,83,2026
3b497135-c404-4b55-a75f-99e8ee4e3752,ee712d05-fc6a-467c-90c6-15c167ba2353,Física,5.3,83,2026
a8ab3ed8-361d-49af-91eb-5799e4d8f886,ee712d05-fc6a-467c-90c6-15c167ba2353,Química,5.4,91,2026
0cc985ea-4715-4eff-9b97-9c31ed4d2cbb,f5e0fee2-3c02-460e-93b3-ccb921e5fe66,Matemática,6.1,85,2026
44efa72a-d947-4daa-9426-cdc611442da4,f5e0fee2-3c02-460e-93b3-ccb921e5fe66,Português,10,94,2026
3b3aee3a-23c2-4e6a-81c9-121980222215,f5e0fee2-3c02-460e-93b3-ccb921e5fe66,História,3.1,84,2026
1e28b2f7-5cc2-4db1-9482-d3d9d8721eb8,f5e0fee2-3c02-460e-93b3-ccb921e5fe66,Física,6.3,88,2026
4ab59d51-a4ed-48bb-82eb-5e8a61816f1a,f5e0fee2-3c02-460e-93b3-ccb921e5fe66,Química,4.1,85,2026
42c56f37-1fbe-4ccb-bb89-50469d60f516,4e39518d-8dfc-498e-8d64-6df371582ad5,Matemática,2.2,82,2026
d932de6b-ce29-4ec3-a3d7-5966979ec94b,4e39518d-8dfc-498e-8d64-6df371582ad5,Português,4.8,68,2026
55197681-611a-4b26-99a6-35d81b4631fd,4e39518d-8dfc-498e-8d64-6df371582ad5,História,10,87,2026
4535fa46-9239-44ec-ab28-727e8aef48ed,4e39518d-8dfc-498e-8d64-6df371582ad5,Física,4.8,78,2026
8ff63c98-5708-475a-89d8-1f205c22f2ed,4e39518d-8dfc-498e-8d64-6df371582ad5,Química,4.8,100,2026
425be2fb-cc03-41f5-8bbe-a68c064a962f,3d115992-d1d8-41f3-9b4d-319e6c5116e7,Matemática,7.3,100,2026
eacd505e-7106-40b4-a523-dbff5051fdf3,3d115992-d1d8-41f3-9b4d-319e6c5116e7,Português,7.8,88,2026
fdbdf342-6cb9-41f3-939b-e988ec5d7ede,3d115992-d1d8-41f3-9b4d-319e6c5116e7,História,8.3,100,2026
3e8ef01b-62a7-477f-ae56-912d67320800,3d115992-d1d8-41f3-9b4d-319e6c5116e7,Física,5.2,91,2026
89b22dd3-c5a6-4bf1-a7f5-d927713634bf,3d115992-d1d8-41f3-9b4d-319e6c5116e7,Química,9.7,84,2026
e981d373-fdaf-41b4-bbb7-11fe2d911b20,cced2feb-953c-4e3b-b99d-8d62ea86ec19,Matemática,9.3,97,2026
d24cea83-3d0a-483d-8a1c-4a09f4051c05,cced2feb-953c-4e3b-b99d-8d62ea86ec19,Português,10,85,2026
19fe8477-db68-463d-a74e-9593fbc2c4d2,cced2feb-953c-4e3b-b99d-8d62ea86ec19,História,4.4,94,2026
e4fda6d2-8190-4bb0-be82-7209ed407e55,cced2feb-953c-4e3b-b99d-8d62ea86ec19,Física,7.2,75,2026
7135d179-d3b0-44e3-a505-95d708cd34da,cced2feb-953c-4e3b-b99d-8d62ea86ec19,Química,7.3,81,2026
cdf82b2e-d256-4cbc-866d-290328c1275d,13d3bedf-db9e-4fa1-b000-ea79548266a1,Matemática,6.2,72,2026
4552a610-dca2-4cbb-ac3c-728d94b53bdd,13d3bedf-db9e-4fa1-b000-ea79548266a1,Português,5.8,88,2026
7b3aa988-8012-40e4-ab16-1527c3082d8a,13d3bedf-db9e-4fa1-b000-ea79548266a1,História,10,73,2026
79a340e7-2fc3-47d0-a24e-19d809adf63e,13d3bedf-db9e-4fa1-b000-ea79548266a1,Física,1.3,98,2026
2b261767-3c54-46db-8ba9-61b62d480e18,13d3bedf-db9e-4fa1-b000-ea79548266a1,Química,9.4,92,2026
f1e0da36-fa46-4d79-81a0-e27bdd5320ef,abe6e425-e532-4bc9-8ebc-062ac55bd37c,Matemática,7.4,94,2026
c4bf7bec-c8d6-4179-8842-baef625fb372,abe6e425-e532-4bc9-8ebc-062ac55bd37c,Português,3.8,95,2026
815274fe-6ca9-49f3-bd86-07e744912cd4,abe6e425-e532-4bc9-8ebc-062ac55bd37c,História,3.7,76,2026
e974a041-644c-4dd8-84aa-6604fa1a9946,abe6e425-e532-4bc9-8ebc-062ac55bd37c,Física,10,92,2026
39ca7fd2-fa77-44db-b1e5-50be06631377,abe6e425-e532-4bc9-8ebc-062ac55bd37c,Química,3.1,62,2026
7566102c-8b69-4d6c-923c-2dab62b33f30,8ea28d62-9ce9-46fc-a365-f21e68a34465,Matemática,4.4,75,2026
2de0ad4f-f638-4dd8-a6ae-b6deb482f9fa,8ea28d62-9ce9-46fc-a365-f21e68a34465,Português,10,98,2026
fcc7ae90-02b0-434f-8505-d535a4a8f603,8ea28d62-9ce9-46fc-a365-f21e68a34465,História,8,70,2026
ee27f44b-694b-4677-9628-ab1840772a1e,8ea28d62-9ce9-46fc-a365-f21e68a34465,Física,10,92,2026
c0295a90-d322-44e1-b468-e4070f1d7c7d,8ea28d62-9ce9-46fc-a365-f21e68a34465,Química,5.4,74,2026
5d917b16-1cdf-469c-b171-3cf070417fea,9b91ea95-f18a-4ffa-bcb1-f0b4995cf8ab,Matemática,10,87,2026
af3b9e01-b657-4250-ab65-4b8125ad6e41,9b91ea95-f18a-4ffa-bcb1-f0b4995cf8ab,Português,4.1,74,2026
0d4c309c-ee75-4d02-92bc-2434d12e5625,9b91ea95-f18a-4ffa-bcb1-f0b4995cf8ab,História,10,83,2026
5a26a3a0-1b09-43dd-ad0c-9254530ddc0a,9b91ea95-f18a-4ffa-bcb1-f0b4995cf8ab,Física,9,98,2026
60bc9ef9-5e53-4ebc-8560-91790c3cfcb1,9b91ea95-f18a-4ffa-bcb1-f0b4995cf8ab,Química,1.9,72,2026
37b15b65-27f3-41a4-9a4e-1f1199dd02af,c807d11e-eff1-410d-a8e7-7fcbacb60d80,Matemática,7.1,95,2026
20bca175-900b-4392-9239-49b64f3ebdb7,c807d11e-eff1-410d-a8e7-7fcbacb60d80,Português,7.9,88,2026
e09aa7fa-6d29-4232-bbfe-331fcd990a7f,c807d11e-eff1-410d-a8e7-7fcbacb60d80,História,8.3,74,2026
a6fb00fa-4bd8-44e1-ad83-ffb5acc0963e,c807d11e-eff1-410d-a8e7-7fcbacb60d80,Física,4.4,84,2026
649bf059-8e33-493b-b7d7-5a40f592f309,c807d11e-eff1-410d-a8e7-7fcbacb60d80,Química,10,76,2026
1fd78c4c-5cc6-44f4-9c58-3546eb526dd5,813a6f52-7460-4fc3-939a-95a2f79bb130,Matemática,8,100,2026
0bda52dd-be40-4933-b7ee-cc4454b5ebff,813a6f52-7460-4fc3-939a-95a2f79bb130,Português,10,95,2026
65527e7b-6671-498d-aa46-212bb52a4d4c,813a6f52-7460-4fc3-939a-95a2f79bb130,História,6.6,70,2026
b66087cb-82e2-4dc2-aa73-a002848cea68,813a6f52-7460-4fc3-939a-95a2f79bb130,Física,3.9,63,2026
